ADR_CP	ADR_VILLE	ADR_PAYS	ID_ANO
65390	ANDREST	FR	86935822
64000	PAU	FR	69126132
95230	SOISY-SOUS-MONTMORENCY	FR	78371942
0	INCONNUE	FR	50115521
33127	Martignas sur Jalles	FR	10276876
95280	JOUY LE MOUTIER	FR	72618128
95000	CERGY PONTOISE	FR	89786278
0	INCONNUE	FR	6316920
78510	TRIEL SUR SEINE	FR	70483325
64110	ST FAUST	FR	4655160
8000	CHARLEVILLE MEZIEREZ	FR	10851625
78260	ACHÈRES	FR	62961185
33290	LE PIAN MÉDOC	FR	20178191
59493	VILLENEUVE D'ASCQ	FR	56147179
59130	LAMBERSART	FR	3858363
0	INCONNUE	FR	39918621
68100	MULHOUSE	FR	59813256
95120	ERMONT	FR	91111326
95000	CERGY	FR	10078376
0	INCONNUE	FR	36434730
64000	PAU	FR	28649625
0	INCONNUE	FR	14965651
92320	CHATILLON	FR	85119280
95800	CERGY ST CHRISTOPHE	FR	2814002
95000	Cergy	FR	9262607
0	INCONNUE	FR	88488717
93160	NOISY LE GRAND	FR	95066771
95000	Cergy	FR	34717133
0	INCONNUE	FR	1640886
0	INCONNUE	FR	40027646
0	INCONNUE	FR	53216396
0	INCONNUE	FR	45671245
92600	ASNIERES SUR SEINE	FR	90419759
95620	PARMAIN	FR	83743219
64000	PAU	FR	57473115
64000	PAU	FR	31300102
32300	MIRANDE	FR	45973096
92700	COLOMBES	FR	12932707
0	INCONNUE	FR	99437039
95230	SOISY SOUS MONTMORENCY	FR	39581630
95230	SOISY SOUS MONTMORENCY	FR	80518863
0	Province d'El Jadida	MA	57983277
93200	ST DENIS	FR	46079911
95000	CERGY PONTOISE	FR	84484450
0	INCONNUE	FR	73217852
95000	CERGY	FR	92580530
63830	DURTOL	FR	19591633
92300	LEVALLOIS PERRET	FR	9045300
0	INCONNUE	FR	65012365
95000	CERGY	FR	22759568
0	INCONNUE	FR	87394253
83210	SOLLIES PORT	FR	78844326
0	INCONNUE	FR	94616019
75017	PARIS	FR	37674773
92400	COURBEVOIE	FR	67751773
95330	DOMONT	FR	96198428
78700	CONFLANS-SAINTE-HONORINE	FR	57614849
95000	CERGY	FR	73438712
0	INCONNUE	FR	84832653
64000	PAU	FR	11917761
94120	FONTENAY SOUS BOIS	FR	12645774
0	CASABLANCA	MA	43002674
75002	PARIS	FR	51988164
75013	PARIS	FR	60903084
95240	CORMEILLES-EN-PARISIS	FR	88398379
94380	BONNEUIL-SUR-MARNE	FR	68324739
78955	CARRIERES-SOUS-POISSY	FR	94261286
95000	CERGY	FR	66151286
95014	Cergy	FR	69079885
95300	PONTOISE	FR	3295402
0	INCONNUE	FR	79500250
95110	SANNOIS	FR	40332119
0	INCONNUE	FR	49094603
0	KORBA	TN	56158286
92400	COURBEVOIE	FR	20919180
92400	COURBEVOIE	FR	1867476
59000	LILLE	FR	7546181
92400	COURBEVOIE	FR	4710912
75012	PARIS 12EME ARRONDISSEMENT	FR	11859301
0	INCONNUE	FR	74274972
78980	ST ILLIERS LA VILLE	FR	11248284
78980	SAINT ILLIERS LA VILLE	FR	82461024
75015	PARIS	FR	13561459
94160	SAINT-MANDE	FR	96256904
95440	ECOUEN	FR	77702418
38000	GRENOBLE	FR	20968169
3150	Rongères	FR	41869673
91240	ST MICHEL SUR ORGE	FR	48034607
0	INCONNUE	FR	57181932
0	INCONNUE	FR	42305768
92120	MONTROUGE	FR	43217862
92600	ASNIERES SUR SEINE	FR	58618868
21160	COUCHEY	FR	55935380
75015	PARIS	FR	51425203
64000	PAU	FR	484713
0	INCONNUE	FR	68917242
78600	MAISONS LAFFITTE	FR	26308016
77100	MEAUX	FR	40341197
78670	VILLENNES SUR SEINE	FR	50635736
85000	LA ROCHE SUR YON	FR	42297736
95000	CERGY	FR	95875931
64000	PAU	FR	99091882
34500	BEZIERS	FR	49377418
78740	VAUX SUR SEINE	FR	14106969
95120	ERMONT	FR	78917852
0	INCONNUE	FR	8313433
33200	BORDEAUX	FR	80711801
33200	BORDEAUX	FR	2162200
95000	CERGY	FR	42385685
0	INCONNUE	FR	79611073
0	INCONNUE	FR	70473400
64000	PAU	FR	68863132
95350	SAINT BRICE SOUS FORET	FR	55899736
91280	SAINT-PIERRE-DU-PERRAY	FR	98394111
95520	OSNY	FR	8174665
9270	MAZERES	FR	90348191
78140	VÉLIZY-VILLACOUBLAY	FR	63970842
0	INCONNUE	FR	93857836
93190	LIVRY GARGAN	FR	8937691
75013	PARIS	FR	45580310
0	INCONNUE	FR	10630507
91310	MONTLHERY	FR	37479149
78980	MONDREVILLE	FR	24770154
62134	BOYAVAL	FR	25015264
63170	PERIGNAT-LES-SARLIEVE	FR	54720604
0	FÉS	MA	79984963
95800	CERGY	FR	9249361
92220	BAGNEUX	FR	75402618
0	INCONNUE	FR	96499482
75017	PARIS	FR	71554915
92400	COURBEVOIE	FR	44165212
97640	SADA (MAYOTTE)	FR	3422112
95800	COURDIMANCHE	FR	3802794
93700	DRANCY	FR	61236718
95000	Cergy	FR	88381939
91300	MASSY	FR	90774456
95000	NEUVILLE SUR OISE	FR	94273260
95000	NEUVILLE SUR OISE	FR	98419102
27140	GISORS	FR	20088103
93000	BOBIGNY	FR	579242
95220	HERBLAY	FR	12343074
0	INCONNUE	FR	16897739
78380	BOUGIVAL	FR	13081667
92600	ASNIERES SUR SEINE	FR	40699879
78600	MAISONS LAFFITTE	FR	51392526
0	INCONNUE	FR	48967059
0	INCONNUE	FR	19906222
95300	PONTOISE	FR	45283039
0	INCONNUE	FR	9422403
95000	CERGY	FR	14497552
0	INCONNUE	FR	36938522
0	INCONNUE	FR	77820345
95000	CERGY	FR	75405889
0	75013	FR	67313000
95100	ARGENTEUIL	FR	50596535
75015	Paris	FR	79076844
95000	CERGY	FR	58626777
93420	VILLEPINTE	FR	89509586
95000	CERGY	FR	75417335
75012	Paris	FR	79868347
95580	ANDILLY	FR	24877013
64000	PAU	FR	5584311
78520	Limay	FR	46188478
0	INCONNUE	FR	40847791
94300	VINCENNES	FR	58855340
0	suryapet	IN	59029268
95320	ST LEU LA FORET	FR	46674191
