CODE_POSTAL,VILLE,PAYS,LAT,LON
,HONG KONG,CHINA,22.3193039,114.1693611
54180,HOUDEMONT,FRANCE,48.647188,6.176482
78800,HOUILLES,FRANCE,48.926916,2.18888
,HSINCHU,TAIWAN,24.8138287,120.9674798
,HSINCHU  TAIWAN,REPUBLIC OF CHINA,24.8138287,120.9674798
45130,HUISSEAU SUR MAUVES,FRANCE,47.893201,1.702582
,HYDERABAD,INDIA,17.385044,78.486671
,IBIZA,ESPAGNE,39.0200099,1.4821482
64320,IDRON,FRANCE,43.289167,-0.311895
67400,ILLKIRCH GRAFFENSTADEN,FRANCE,48.52854,7.711011
,IMMENSTAAD,ALLEMAGNE,47.6655273,9.3641307
,INDORE,INDIA,22.7195687,75.8577258
,IOANNINA,GRECE,39.6650288,20.8537466
,IRWINDALE,UNITED STATES,34.1069527,-117.9353413
92130,ISSY LES MOULINEAUX,FRANCE,48.8245306,2.2743419
92136,ISSY LES MOULINEAUX,FRANCE,48.8245306,2.2743419
92445,ISSY LES MOULINEAUX,FRANCE,48.8245306,2.2743419
92782,ISSY LES MOULINEAUX,FRANCE,48.8245306,2.2743419
92136,ISSY LES MOULINEAUX CEDEX,FRANCE,48.8245306,2.2743419
92444,ISSY LES MOULINEAUX CEDEX,FRANCE,48.8245306,2.2743419
92863,ISSY LES MOULINEAUX CEDEX 9,FRANCE,48.8237852,2.2575807
92130,ISSY-LES-MOULINEAUX,FRANCE,48.8245306,2.2743419
,ISTANBUL,TURKEY,41.0082376,28.9783589
94200,IVRY SUR SEINE,FRANCE,48.813055,2.38822
94200,IVRY-SUR-SEINE,FRANCE,48.813055,2.38822
12220,JAKARTA,INDONESIE,-6.2087634,106.845599
35150,JANZE,FRANCE,47.959272,-1.498302
,JL ROTTERDAM,PAYS-BAS,52.359591,4.880162
89300,JOIGNY,FRANCE,47.981432,3.398961
94340,JOINVILLE LE PONT,FRANCE,48.821267,2.472043
94340,JOINVILLE-LE-PONT,FRANCE,48.821267,2.472043
37300,JOUÉ LÈS TOURS,FRANCE,47.351861,0.6613099
95280,JOUY LE MOUTIER,FRANCE,49.015695,2.047209
78354,JOUY-EN-JOSAS,FRANCE,48.764545,2.169007
95280,JOUY-LE-MOUTIER,FRANCE,49.015695,2.047209
6160,JUAN LES PINS,FRANCE,43.5691905,7.1123854
6160,JUAN-LES-PINS,FRANCE,43.5691905,7.1123854
65290,JUILLAN,FRANCE,43.2020539,0.022854
,JUNIN,ARGENTINA,-34.5885499,-60.949554
